X,Y,OBJECTID,Station_Name,Station_Id,Fuel_Type,facility_type,Access_Hours,Current_Status,Accessability,Access_Details,Restricted_Access,Payment_Methods,Date_Last_Confirmed,Date_Last_Update,Open_Date,Availability_Date,Zipcode_Route,Address,City,Zipcode,State,Country,Latitude,Longitude,Directions,Federal_Owner,Phone_Number,Ownership_Type,EV_Network_Id,EV_Network,EV_Level1_EVSE_Ports,EV_Level2_EVSE_Ports,EV_DC_Fast_Ports,Total_Level2_DCFC_Ports,EV_Other_EVSE_Ports,EV_Connector_Types,EV_Network_Link,EV_Pricing,EV_Renewable_Source,Geocode_Status
-122.822404000128,47.0440110002949,1,City of Lacey - City Hall Parking,33351,ELEC,MUNI_GOV,24 hours daily,E,Public,,False,,2023/01/10 00:00:00+00,2023/02/14 15:54:11+00,2018/01/15 00:00:00+00,,,420 College St,Lacey,98503,WA,US,47.044011,-122.822404,"At 3rd Ave SE, next to police station",,360-491-3214,LG,,Non-Networked,0,4,0,4,,J1772,,"Free; 3 hour maximum charging session",,200-9
-122.296228999842,47.4433769999251,2,Seattle-Tacoma International Airport - General Parking,33717,ELEC,AIRPORT,"24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging",E,Public,,False,,2021/12/09 00:00:00+00,2023/07/12 13:46:52+00,2010/03/01 00:00:00+00,,,17801 Pacific Hwy S,Seattle,98188,WA,US,47.443377,-122.296229,"5th floor parking garage; rows D, G, and I",,206-787-5388,P,,Non-Networked,121,0,0,,,NEMA 5-20,,Free,,200-8
-117.388932999769,47.6733469998906,3,Avista Corp,35620,ELEC,OFFICE_BLDG,"24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging",E,Public,,False,,2023/06/12 00:00:00+00,2023/06/12 16:56:16+00,2010/04/15 00:00:00+00,,,1411 E Mission Ave,Spokane,99252,WA,US,47.673347,-117.388933,,,509-489-0500,P,,Non-Networked,1,2,0,2,,"J1772, NEMA 5-20",,Free,,GPS
-117.423663700318,47.6557921798502,4,Steam Plant Parking,35621,ELEC,RESTAURANT,24 hours daily,E,Public,,False,,2023/04/06 00:00:00+00,2023/04/06 17:17:01+00,2010/04/15 00:00:00+00,,,130 S Post St,Spokane,99201,WA,US,47.65579218,-117.4236637,,,800-227-9187,P,,Non-Networked,0,6,0,6,,J1772,,Free,,GPS
-122.193162000359,47.6147440002057,5,BELLEVUE BELLEVUE CH 1,37181,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:13:20+00,2010/12/15 00:00:00+00,,,450 110th Ave NE,Bellevue,98004,WA,US,47.614744,-122.193162,,,888-758-4389,,USCPIL479461,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.019499999552,47.5453240001323,6,KING COUNTY DES ISSAQUAH P&R 2,38082,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:30:47+00,2008/02/15 00:00:00+00,,,1755 Highlands Dr NE,Issaquah,98027,WA,US,47.545324,-122.0195,,,888-758-4389,,USCPIL5420341,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.191915000405,47.7618780000981,7,UWB CASCADIA CC NORTH LEVEL 3 N,38952,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:09:18+00,2011/03/15 00:00:00+00,,,18500 Campus Way NE,Bothell,98011,WA,US,47.761878,-122.191915,,,888-758-4389,,USCPIL205055,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.129949999928,47.6792240002209,8,CITY OF REDMOND CITY HALL DUAL,38959,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:03:54+00,2011/03/15 00:00:00+00,,,15670 NE 85th St,Redmond,98052,WA,US,47.679224,-122.12995,,,888-758-4389,,USCPIL134377,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.099033999725,47.672358999877,9,CITY OF REDMOND MOC #1 PUBLIC,38966,ELEC,,24 hours daily,E,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:03:54+00,2011/03/15 00:00:00+00,,,18080 NE 76th St,Redmond,98052,WA,US,47.672359,-122.099034,,,888-758-4389,,USCPIL134289,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
-122.147040999774,47.7342109998511,10,WILLOWS LODGE WILLOWS #2,38976,ELEC,,24 hours daily,T,Public,,,,2023/08/07 00:00:00+00,2023/08/07 00:17:44+00,2011/03/15 00:00:00+00,2022/09/09 00:00:00+00,,14580 NE 145th St,Woodinville,98072,WA,US,47.734211,-122.147041,,,888-758-4389,,USCPIL795821,ChargePoint Network,0,2,0,2,,J1772,http://www.chargepoint.com/,,,GPS
